,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
IGLV1-40,0.9628,0.03720000000000001,3.2535366861990203,7.9393874e-07,4.5475003e-06,1e-07,0.5,-5.505753,-5.945384,3.216892,-13.1889715,5.042713,0.0007613767,0.0060375137,0.0024260067928190197,0.022727272727272728,0.006415824,0.05134806,True,Tumor vs Normal,Tumor,Normal
AP003774.4,0.9356,0.06440000000000001,2.676074257008553,5.0362235e-07,3.0614538e-06,1e-07,0.5,-5.462899,-6.0166483,3.287433,-13.615501,7.620735,0.0008102549,0.0,0.0024260067928190197,0.0,0.0075321994,0.0,True,Tumor vs Normal,Tumor,Normal
WNT1,0.9563999999999999,0.04360000000000008,3.0881188663272834,8.931142e-08,8.456968e-07,1e-07,0.5,-5.454798,-5.8794193,2.8024948,-12.848745,5.237934,0.00017466513,0.0,0.0009704027171276079,0.0,0.0013853561,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV11-2,0.9484,0.05159999999999998,2.911254498449377,2.138192e-07,9.482477e-07,1e-07,0.5,-5.429637,-6.17305,3.2861438,-13.356615,7.494669,0.00047403882,0.0,0.0009704027171276079,0.0,0.003988691,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV6-5,0.943,0.05700000000000005,2.806014849964779,2.2266005e-07,1.6179894e-06,1e-07,0.5,-5.4173236,-5.942177,3.4445984,-15.655023,8.807917,0.00025903148,0.0,0.00048520135856380397,0.0,0.002314284,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV24-1,0.9543999999999999,0.045600000000000085,3.0411749454429295,2.7845905e-07,1.792166e-06,1e-07,0.5,-5.402895,-5.890977,3.0115328,-14.10464,6.779291,0.0011037074,0.0,0.001455604075691412,0.0,0.008430238,0.0,True,Tumor vs Normal,Tumor,Normal
TTTY15,0.9352,0.06479999999999997,2.669454663171554,2.1924677e-06,6.1873625e-06,1e-07,0.5,-5.3200474,-6.5683775,4.3106036,-14.743076,8.815682,0.002681389,0.0060375137,0.006792819019893255,0.022727272727272728,0.02423005,0.05134806,True,Tumor vs Normal,Tumor,Normal
IGKV3-11,0.9634,0.036599999999999966,3.270420190944699,2.919578e-06,1.6344553e-05,1e-07,0.5,-5.28456,-5.869252,3.0944312,-13.742122,5.9172287,0.0030246312,0.011539948,0.005337214944201843,0.022727272727272728,0.032028746,0.09581653,True,Tumor vs Normal,Tumor,Normal
IGKV3-15,0.9662,0.03380000000000005,3.3529097641232113,3.6258957e-06,1.4951875e-05,1e-07,0.5,-5.2814827,-5.969806,3.1675963,-11.674982,6.526043,0.004488581,0.0,0.006307617661329451,0.0,0.04792453,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV1-5,0.972,0.028000000000000025,3.5471509474305067,2.87215e-06,1.50007245e-05,1e-07,0.5,-5.2756386,-5.7981997,2.8230798,-11.741376,5.1758137,0.0033320112,0.019369498,0.006307617661329451,0.045454545454545456,0.03588647,0.18632378,True,Tumor vs Normal,Tumor,Normal
TRBV7-3,0.9728,0.027200000000000002,3.5769611805425647,6.917763e-07,7.4446425e-06,1e-07,0.5,-5.270987,-5.7442045,2.469254,-11.952703,5.4782352,0.0013812305,0.0,0.0029112081513828236,0.0,0.011557518,0.0,True,Tumor vs Normal,Tumor,Normal
