,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
FSIP2,0.967,0.03300000000000003,3.377690641297818,1.06091e-06,3.9757892e-06,1e-07,0.5,-1.9098773,-1.9051151,0.7544345,-4.4789963,0.76911736,0.0,0.012297726,0.0,0.06666666666666667,0.0,0.08841689,True,Left vs Right,Left,Right
SOD3,0.954,0.04600000000000004,3.03202206805009,0.00084813836,0.00022775623,1e-07,0.5,1.9083519,1.9756856,0.81655645,-1.8371363,4.036809,0.9057163,0.4650354,0.625,0.7333333333333333,10.472084,4.5507355,True,Left vs Right,Left,Right
HKDC1,0.92,0.07999999999999996,2.4423469212387783,3.1358329e-07,1.1583372e-06,1e-07,0.5,-1.9071053,-1.9422503,1.3245803,-7.665365,3.8759022,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
BARX2,0.9162,0.08379999999999999,2.391801565547517,2.6610132e-07,9.95615e-07,1e-07,0.5,-1.9017053,-1.9540663,1.0243719,-5.636406,2.1573868,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
KLHL2,0.9692,0.03080000000000005,3.4489559846053557,5.4205984e-06,2.0732412e-05,1e-07,0.5,-1.8999326,-1.9509964,0.6716919,-3.8545065,0.85730934,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
FAM84B,0.948,0.052000000000000046,2.903110601914443,1.5815835e-06,6.298934e-06,1e-07,0.5,-1.8998148,-1.9145632,0.8561955,-4.67951,0.84101295,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
FEN1,0.9612,0.038799999999999946,3.209762009904824,2.1711444e-06,8.489186e-06,1e-07,0.5,-1.8997588,-1.9695206,0.70927113,-3.803258,0.7591419,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
MEST,0.9536,0.0464,3.0229446320482345,5.526261e-06,2.063859e-05,1e-07,0.5,-1.8943571,-1.9371929,0.81844395,-4.4711905,2.4263687,0.0,0.11140342,0.0,0.3333333333333333,0.0,0.7912216,True,Left vs Right,Left,Right
KCNC3,0.9364,0.06359999999999999,2.689429118717184,3.6676514e-07,1.3948054e-06,1e-07,0.5,-1.8923022,-2.0348272,1.0565789,-4.4293404,2.529276,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CLTCL1,0.999,0.0010000000000000009,6.906744788708563,1.4284273e-06,5.244814e-06,1e-07,0.5,-1.8894912,-1.8934135,0.44498715,-3.3509922,-0.17453003,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ZNF658,0.9852,0.014800000000000035,4.198216819951087,5.3586757e-07,1.9612546e-06,1e-07,0.5,-1.8879979,-1.8425817,0.65580195,-4.357399,0.32382584,0.0,0.011765333,0.0,0.06666666666666667,0.0,0.088609345,True,Left vs Right,Left,Right
NT5C3B,0.9982,0.0018000000000000238,6.318161446611285,6.742912e-05,1.7995324e-05,1e-07,0.5,1.8823068,1.8993826,0.44352928,0.33407402,3.1485271,0.0,0.03722118,0.0,0.13333333333333333,0.0,0.29979607,True,Left vs Right,Left,Right
CFAP65,0.9159999999999999,0.08400000000000007,2.3891994577002347,2.3703655e-07,8.793177e-07,1e-07,0.5,-1.8809266,-1.8685799,0.9178461,-5.011593,0.8124256,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
FAM83H,0.963,0.03700000000000003,3.2591352392678825,1.7594808e-06,6.420397e-06,1e-07,0.5,-1.8806927,-1.9157047,0.7778604,-4.504429,1.8006821,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
HIST1H1C,0.9924,0.007600000000000051,4.871976698813327,4.2973577e-05,1.1611602e-05,1e-07,0.5,1.8788817,1.8705821,0.58482873,-0.09457779,4.024029,0.14229724,0.033450957,0.125,0.13333333333333333,1.3492198,0.23317635,True,Left vs Right,Left,Right
MED20,0.9904,0.009600000000000053,4.636344771887343,3.692337e-06,1.3487073e-05,1e-07,0.5,-1.8787888,-1.8808832,0.593272,-3.8347502,0.015331268,0.0,0.010651365,0.0,0.06666666666666667,0.0,0.07528377,True,Left vs Right,Left,Right
SFTA2,0.9174,0.0826,2.407533791471142,5.678544e-07,2.277488e-06,1e-07,0.5,-1.877917,-1.8846798,1.0110606,-5.7360115,1.6299973,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
ANO1,0.963,0.03700000000000003,3.2591352392678825,8.515792e-06,3.073929e-05,1e-07,0.5,-1.8773206,-1.8633938,0.77753943,-4.382019,0.525547,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
UGDH,0.9862,0.013800000000000034,4.269189867129377,2.7417082e-05,0.000105792176,1e-07,0.5,-1.875986,-1.8823881,0.66013104,-4.3422585,0.060803413,0.0,0.26398772,0.0,0.5333333333333333,0.0,1.9124888,True,Left vs Right,Left,Right
NCR3LG1,0.9322,0.06779999999999997,2.6209850522269886,1.1101903e-06,4.191399e-06,1e-07,0.5,-1.8750175,-1.9720964,0.96942264,-4.577654,2.1105042,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
EPB41L3,0.9568,0.043200000000000016,3.0977536669163523,1.5810083e-05,5.9026377e-05,1e-07,0.5,-1.8739464,-1.8966374,0.8111408,-4.4976416,1.8525,0.0,0.10946382,0.0,0.39999999999999997,0.0,0.7803899,True,Left vs Right,Left,Right
ADD2,0.9624,0.03759999999999997,3.2424258586979,2.0711981e-07,7.5626946e-07,1e-07,0.5,-1.8722535,-1.8858929,0.678615,-4.0517883,0.5346279,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
